Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
Furnished Three Bedroom Apartment With One Room BQ-13919142,Ikoyi,"Ikoyi, Lagos - Bourdillon Drive, Ikoyi   ",80000,Furnished Three Bedroom Apartment With One Room BQ-13919142,1,NA,NA
Three Bedroom Short Letting Flat-13919143,Ikoyi,"Ikoyi, Lagos - Ikoyi, Old Ikoyi, Ikoyi   Content From Nigeria Pro...",100000,Three Bedroom Short Letting Flat-13919143,1,NA,NA
Heaven Apartment-13919144,Ikoyi,"Ikoyi, Lagos - Okotie Eboh, Ikoyi  ",35000,Heaven Apartment-13919144,1,NA,NA
Immortal-13919145,Ikoyi,"Ikoyi, Lagos - Old Ikoyi, Ikoyi, Lagos ",35000,Immortal-13919145,1,NA,NA
Luxurious Two BedroomFlat-13919146,Ikoyi,"Ikoyi, Lagos - Off Cameroon Road, Old Ikoyi, Ikoyi  ",38500,Luxurious Two BedroomFlat-13919146,1,NA,NA
Evita Apartment-139191147,Ikoyi,"Ikoyi, Lagos - Okotie Eboh, Old Ikoyi,   ",45000,Evita Apartment-139191147,1,NA,NA
New Luxry Two Bedroom13919148,Ikoyi,"Ikoyi, Lagos - House H13, D Close, Ondo Street, Banana Island, Ik...",45000,New Luxry Two Bedroom13919148,1,NA,NA
Tastefully Furnished Three Bedroom Flat-13919149,Ikoyi,"Ikoyi, Lagos - Mosely Road, Banana Island, Ikoyi   ",60000,Tastefully Furnished Three Bedroom Flat-13919149,1,NA,NA
Waterfront Three Bedroom Luxry Apartment-13919150,Ikoyi,"Ikoyi, Lagos - Awolowo Towers, 17a Awolowo Road, By Firs Office, ...",45000,Waterfront Three Bedroom Luxry Apartment-13919150,1,NA,NA
Fully Furnished Two Bedroom Flat-13919151,Ikoyi,"Ikoyi, Lagos - Ikoyi",8000000,Fully Furnished Two Bedroom Flat-13919151,1,NA,NA
Affordable Two Bedroom Apartment-13919152,Ikoyi,"Ikoyi, Lagos - 5th Avenue, Banana Island, Ikoyi",45000,Affordable Two Bedroom Apartment-13919152,1,NA,NA
Luxury Two Bedroom Apartment-13919153,Ikoyi,"Ikoyi, Lagos - 5th Avenue, Banana Island, Ikoyi   ",45000,Luxury Two Bedroom Apartment-13919153,1,NA,NA
Nawf Road-13919154,Ikoyi,"Ikoyi, Lagos -  Ondo Street, Nawf Road, Banana Island, Ikoyi   ",45000,Nawf Road-13919154,1,NA,NA
Common Wealth-13919155,Ikoyi,"Ikoyi, Lagos - Sokoto, Banana Island, Ikoyi ",55000,Common Wealth-13919155,1,NA,NA
Two Bedroom Flat In Banana Island-13919156,Ikoyi,"Ikoyi, Lagos -  Banana Island, Ikoyi   ",60000,Two Bedroom Flat In Banana Island-13919156,1,NA,NA
Escalante-13919157,Ikoyi,"Ikoyi, Lagos - Nassarawa, Banana Island, Ikoyi   ",50000,Escalante-13919157,1,NA,NA
Foxcroft Two Bedroom Apartment-13919158,Ikoyi,"Ikoyi, Lagos - 5th Avenue, Banana Island, Ikoyi   ",45000,Foxcroft Two Bedroom Apartment-13919158,1,NA,NA
Brighton Two Bedroom Apartment-13919159,Ikoyi,"Ikoyi, Lagos - 5th Avenue, Banana Island, Ikoyi   ",45000,Brighton Two Bedroom Apartment-13919159,1,NA,NA
Clarity-13919160,Ikoyi,"Ikoyi, Lagos - Banana Island, Ikoyi   ",50000,Clarity-13919160,1,NA,NA
Chob Bread And Breakfast Lodge,,", Lagos - ",,Chob Bread And Breakfast Lodge,1,NA,NA
Quavos World-13919158,Ikoyi,"Ikoyi, Lagos - Banana Island, Ikoyi",55000,Quavos World-13919158,1,NA,NA
Huncho's Liar-13919159,Ikoyi,"Ikoyi, Lagos - Borno Street, Banana Island, Ikoyi,   ",45000,Huncho's Liar-13919159,1,NA,NA
Nicely Furnished Two Bedroom Apartment-13919160,Ikoyi,"Ikoyi, Lagos - Off Gerald Road, Old Ikoyi, Ikoyi   ",55000,Nicely Furnished Two Bedroom Apartment-13919160,1,NA,NA
Brighton One Bedroom Apartment-13919161,Ikoyi,"Ikoyi, Lagos - 5th Avenue, Banana Island, Ikoyi   ",45000,Brighton One Bedroom Apartment-13919161,1,NA,NA
Foxcroft One Bedroom Apartment-13919162,Ikoyi,"Ikoyi, Lagos - 5th Avenue, Banana Island, Ikoyi   ",45000,Foxcroft One Bedroom Apartment-13919162,1,NA,NA
Luxury Three Bedroom Flat-13919163,Ikoyi,"Ikoyi, Lagos - Mosley, Old Ikoyi, Ikoyi,  ",60000,Luxury Three Bedroom Flat-13919163,1,NA,NA
