Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
Casa Del Amor - VI,Victoria Island,"Victoria Island, Lagos - Oniru, Victoria Island",20000,Apartment,268,NA,NA
Kitex Place ,Lekki Phase 1,"Lekki Phase 1, Lagos - No. 45 Jay Jay Oladimeji Off Freedom Way, Lekki Ph...",100000,Apartment,38,NA,NA
Ibis Lagos Airport,Ajao Estate,"Ajao Estate, Lagos - 35/37 Murtala Mohamed Intl Airport Road",30000,Hotel,31079,NA,NA
Adun Suites,Gbagada ,"Gbagada , Lagos - 9, Igbeyinadun Street Off Oguntona Crescent, Charl...",25000,Hotel,107,NA,NA
Hotel Ibis Lagos Ikeja,Ikeja,"Ikeja, Lagos - 23 Toyin Street, Ikeja, Lagos",41000,Hotel,25215,NA,NA
"The Cocoon Luxury Suites, Ogudu",Ogudu,"Ogudu, Lagos - 2B, Adebayo Ogunrombi Close Off Ogudu Road, Ogudu",25000,Hotel,120,NA,NA
"The Moorhouse Hotel, Ikoyi",Ikoyi,"Ikoyi, Lagos - 1 Bankole Oki Street",56000,Luxury Hotel,1234,7.2 Very Good,From 2 reviews
Beni Apartments,Victoria Island,"Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell",17000,Hotel,15338,7.4 Very Good,From 145 reviews
Beni Hotels,Lagos Island,"Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street",12000,Hotel,11051,7.3 Very Good,From 61 reviews
The Agore Hotels Ltd (Formerly Nowoola Palace Hotels And Suites), Ibeju Lekki," Ibeju Lekki, Lagos -  5, Nancy Nowoola Street, Behind Uba Pharmacy, Awo...",12500,Hotel,436,NA,NA
Choice Suites (Formerly Chantella Suites),Ikeja,"Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By D...",13000,Budget Hotel,10376,7.4 Very Good,From 40 reviews
Extended Stay Grand Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian ...",20000,Hotel,8817,7.7 Very Good,From 40 reviews
Axor Hotels And Suites,Lekki,"Lekki, Lagos - Plot 16/17 Sule Olusesi Road, Beside Conservation ...",23000,Boutique Hotel,2227,NA,NA
Beni Gold Hotel And Apartments,Victoria Island,"Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Isl...",30000,Hotel,17663,7.8 Very Good,From 351 reviews
The Cocoon Luxury Suites Ilupeju,Ilupeju,"Ilupeju, Lagos - 16 Aina George Street, Off Coker Road, Ilupeju",18000,Hotel,2662,NA,NA
Presken Hotel And Suites (Mojidi),Ikeja,"Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603...",20000,Hotel,5138,7.0 Very Good,From 23 reviews
Whispering Palms Resort,Badagry,"Badagry, Lagos - Iworo",27000,Resort,2604,NA,NA
DEMEG HOTEL AND SUITES,Ipaja,"Ipaja, Lagos - 2/2B Bola Sanyaolu Close, Akinyele Bustop, Ipaja",14500,Hotel,134,NA,NA
Double M Exquisite Suites And Lounge,Lekki,"Lekki, Lagos -  9 Kazeem Abogun St, Off New Road Alpha Beach, Lek...",25000,Hotel,3873,NA,NA
Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),Victoria Island,"Victoria Island, Lagos - 204B, Etim Inyang Crecsent",10000,Hotel,1991,6.7 Very Good,From 29 reviews
Demiral Hotel At The Place Lekki,Lekki,"Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way",20000,Hotel,5454,7.2 Very Good,From 30 reviews
Integrity Hotel And Suites, Victoria Island," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off A...",15999,Hotel,6682,6.3 Very Good,From 29 reviews
CitiHeight Hotel,Ikeja,"Ikeja, Lagos - No. 6 Sheraton-Opebi Link Road",26500,Hotel,4970,NA,NA
Eko Hotel ,Victoria Island,"Victoria Island, Lagos - 1415 Adetokunbo Ademola Street",67000,Luxury Hotel,5173,7.5 Very Good,From 35 reviews
Presken Hotel And Suites (Awolowo),Ikeja,"Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round Abou...",20000,Budget Hotel,4650,7.3 Very Good,From 24 reviews
Presken Hotel And Suites (GRA),Ikeja,"Ikeja, Lagos - 6, Remi Fani Kayode Avenue, G.R.A, Ikeja , Off Oba...",25000,Hotel,6155,NA,NA
Jeromes Garden And Suites,Ikeja,"Ikeja, Lagos - 29, Oroleye Crescent, Off Abel Oreniyi Street, Off...",16000,Hotel,9459,NA,NA
Vintage Suites,Surulere,"Surulere, Lagos - 15c, Akinhanmi Street, Off Funsho Williams Avenue,...",10000,Budget Hotel,3402,7.3 Very Good,From 25 reviews
Dmatel Hotel And Resort ,Lekki,"Lekki, Lagos - 10 Agungi Road, Ajiran Off Lekki Expressway",20000,Budget Hotel,4236,7.1 Very Good,From 68 reviews
BTT HOMES,Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 36 Adebisi Ogunniyi Crescent. Off Visa Office...",30000,Hotel,2329,7.9 Very Good,From 12 reviews
Handsworth Hotel Limited,Ajah,"Ajah, Lagos - 7/8 Young Arabamen Street Farm  Bus-stop Sangotedo...",11500,Hotel,2184,6.3 Very Good,From 34 reviews
Lagos Oriental Hotel,Victoria Island,"Victoria Island, Lagos -  3 Lekki Road",92000,Luxury Hotel,3860,NA,NA
Swiss Cottage Suites,Ikeja ,"Ikeja , Lagos -  18 Sunday Adigun Street Alausa Ikeja( Adjacent To...",17500,Hotel,4535,NA,NA
"The Cocoon Luxury Suites, Gbagada",Gbagada,"Gbagada, Lagos - 6, Oguntona Crescent, Gbagada Phase 1 ",20000,Budget Hotel,2724,NA,NA
Atlantic Palms Suites,Lekki,"Lekki, Lagos - 1, Abolakale Arikawe Drive, Off Alpha Beach New Ro...",20000,Budget Hotel,2032,7.6 Very Good,From 13 reviews
Deke Hotel,Yaba,"Yaba, Lagos - Plot 79 Karimu Kotun Oyadiran Estate Sabo",5500,Hotel,3719,6.0 Very Good,From 78 reviews
KnightsBridge Hotel,Ikeja,"Ikeja, Lagos - 9 Emina Crescent Off Toyin Street ",12750,Hotel,2467,7.7 Very Good,From 34 reviews
Unilag Guest House,Yaba,"Yaba, Lagos - University Of Lagos Akoka ",15000,Guest House,5820,6.0 Very Good,From 43 reviews
Presken Hotel And Suites (Airport),Oshodi,"Oshodi, Lagos - 50, International Airport Road, Ajao Estate Bussto...",25000,Hotel,2350,NA,NA
Cosmic Guest House,Ikeja,"Ikeja, Lagos - 36a Olu-Akerele Street Balogun Bus Stop. Off Awolo...",5000,Guest House,3360,NA,NA
Eastgate Lekki,Lekki,"Lekki, Lagos - 4, Dreamworld Africana Way Olugborogan Olusesi, Ch...",24500,Hotel,3280,7.2 Very Good,From 23 reviews
Pearlwort Hotel And Suites,Ikeja,"Ikeja, Lagos -  Plot 7, Impressive Close, Off L.J. Dosunmu Street...",32000,Hotel,1546,7.0 Very Good,From 6 reviews
Zeina Suites,Lekki,"Lekki, Lagos - 1, General Ogumodia Boulavard, Lekki Phase 1, Lekk...",20000,Hotel,1332,7.1 Very Good,From 13 reviews
Villa Angelia Hotel,Ikoyi,"Ikoyi, Lagos - 2/7 Okunla Martins Close Off Okotie Eboh Street Of...",18000,Hotel,3367,7.7 Very Good,From 14 reviews
D'Island Hotel ,Ajah,"Ajah, Lagos - 80, Addo Road Ajah, Akins Bus-Stop, Lekki-Ajah",7000,Hotel,562,7.8 Very Good,From 12 reviews
Silver Grandeur Hotel,Ajao Estate,"Ajao Estate, Lagos - No. 4 Abgor Close Off Osolo Way.",9800,Hotel,8391,7.7 Very Good,From 125 reviews
Lagos Airport Hotel,Ikeja,"Ikeja, Lagos - 111 Obafemi Awolowo Way Ikeja",28000,Hotel,3430,6.3 Very Good,From 46 reviews
Preserve Apartment And Suite,Lekki Phase 1,"Lekki Phase 1, Lagos - 14, Babatunde Dabiri Street",20000,Hotel,2212,7.7 Very Good,From 18 reviews
Hotel Bon Voyage,Victoria Island,"Victoria Island, Lagos - 57A, Marinho Drive, Off Ajose Adeogun Street",35000,Luxury Hotel,3367,NA,NA
Villa Angelia Victoria Island ,Victoria Island,"Victoria Island, Lagos - 20 Oju Olobun Street, Off Bishop Oluwole Street, V...",25000,Hotel,4457,7.2 Very Good,From 44 reviews
City View Hotel Ltd.,Ikeja,"Ikeja, Lagos - 1 Taiwo Close Off Kudirat Abiola Way Oregun",9200,Hotel,3920,7.2 Very Good,From 39 reviews
Easy Homes Hotels,Surulere,"Surulere, Lagos - 33 Eric Moore Close Off Eric Moore Road",12000,Budget Hotel,2013,7.0 Very Good,From 24 reviews
Peaceland Hotels Limited,Yaba ,"Yaba , Lagos - 1 Tokunboh Street, Sabo, Yaba. ",9000,Hotel,1189,7.2 Very Good,From 12 reviews
Temple Cottage Hotel,Victoria Island,"Victoria Island, Lagos - Plot 323 Akin Ogunlewe Street Victoria Island Lago...",30500,Hotel,739,NA,NA
The Blowfish Hotel,Victoria Island,"Victoria Island, Lagos - No. 20 Oju Olobun Street, Off Idejo Street, Victor...",60000,Boutique Hotel,2591,NA,NA
"Msquare Hotel, Ikeja",Ikeja,"Ikeja, Lagos - 34B Remi Fani Kayode Avenue, GRA",21500,Hotel,3916,NA,NA
Kings Celia Hotel And Suite,Yaba,"Yaba, Lagos - No 8 Jibowu Street ",25000,Hotel,1485,NA,NA
Lantano Cottage,Ikeja,"Ikeja, Lagos - 4, Oduduwa Crescent GRA Ikeja.",15000,Hotel,2452,NA,NA
TheoDawn Hotels( Formerly Suite 29),Ikeja,"Ikeja, Lagos - 29 Oluwaleyimu Street Off Allen Avenue",11000,Hotel,2126,6.6 Very Good,From 14 reviews
Pelican International Hotel,Lekki,"Lekki, Lagos - By Chevron Roundabout, Chevy Estate, Lekki Lagos",15000,Hotel,1918,7.8 Very Good,From 25 reviews
MarcoPolo Hotel ,Lekki,"Lekki, Lagos - 4, Yeni Crescent, Chevy View Estate, Opposite Chev...",30000,Hotel,1310,7.6 Very Good,From 6 reviews
Coronia Hotel,Ajao Estate,"Ajao Estate, Lagos - No 2 In A Jegede Close Ajao Estate Lagos",25000,Hotel,1483,7.2 Very Good,From 6 reviews
Festival Hotel Festac Lagos (Formerly Golden Tulip Festac Lagos),Festac,"Festac, Lagos - Amuwo Odofin Mile 2 Lagos, P.M.B 031",27200,Hotel,1723,7.9 Very Good,From 24 reviews
Libra Hotels Ltd.,Ikeja,"Ikeja, Lagos - 1 Ramonu Oyedele Street,by Total Filling Station,O...",5000,Hotel,1528,6.1 Very Good,From 24 reviews
Rita Lori Hotels Surulere,Surulere,"Surulere, Lagos - 1-4 Taoridi Street, Off Babs Animashaun Road",17000,Hotel,2590,7.2 Very Good,From 38 reviews
Westwood Hotel Ikoyi,Ikoyi,"Ikoyi, Lagos - 22 Awolowo Road Ikoyi",30000,Hotel,3468,7.4 Very Good,From 28 reviews
Mayhill Hotel,Lekki Phase 2,"Lekki Phase 2, Lagos - 12 Muritala Eletu Street, Osapa London, Lekki Phas...",35000,Hotel,968,NA,NA
Maison Fahrenheit,Victoria Island,"Victoria Island, Lagos - 80, Ademola Adetokunbo Street, Opposite Eko Hotel",59000,Hotel,2205,7.9 Very Good,From 10 reviews
Golden Destiny Hotel Limited,Ajao Estate,"Ajao Estate, Lagos - 6 Awoniyi Elemo Street, Off Osolo Way Off M/M Inte...",13000,Hotel,1691,6.5 Very Good,From 32 reviews
Presken Hotel And Suites (K-One),Ikeja,"Ikeja, Lagos - 23 Sogunle Street, Off Mobolaji Bank Anthony Way A...",20000,Hotel,2521,6.9 Very Good,From 12 reviews
Austasun Place ,Lekki Phase 1,"Lekki Phase 1, Lagos - 4 Emmanuel Adebayo Close Off Baderinwa Alabi Stree...",12800,Hotel,1016,NA,NA
Lavalon Hotels And Suites,Ajah,"Ajah, Lagos - 11/13 Kolawole Adekunle St. (Opp Ecobank) Off Addo...",13000,Hotel,1781,7.5 Very Good,From 40 reviews
Hotel C And M,Lekki,"Lekki, Lagos - 13,  Tolani Bakare Street, Abijoh Estate, Off Lekk...",5000,Hotel,1090,7.0 Very Good,From 14 reviews
Peerage Retreat,Victoria Island,"Victoria Island, Lagos - 1, Olabode George Street,Off Ajose Adeogun Street",11000,Hotel,2818,7.3 Very Good,From 41 reviews
Benny Hotels ,Festac,"Festac, Lagos - Plot 641 First Avenue",17000,Hotel,1907,6.9 Very Good,From 23 reviews
The Hedge Suites,Victoria Island,"Victoria Island, Lagos - 194B Jide Oki Street Off Ligali Ayorinde Street, V...",20000,Hotel,3237,7.4 Very Good,From 50 reviews
De Rembrandt Hotels And Suites,Ikeja,"Ikeja, Lagos - 172 Obafemi Awolowo Way",41800,Hotel,2218,7.9 Very Good,From 27 reviews
New Travellers Lodge ,Iyana Ipaja,"Iyana Ipaja, Lagos - 161, Abeokuta Express Way, Beside Access Bank, Ara...",7000,Lodge,1007,7.5 Very Good,From 12 reviews
Chadon Kitchen ,Maryland,"Maryland, Lagos - No. 10 Tiamiyu Olushile Street, Mende ",13000,Hotel,1038,6.6 Very Good,From 16 reviews
Valley Front View Hotel,Ikeja,"Ikeja, Lagos - 7, Abiodun Close, Off Alabi Street, Off, Toyin St,...",25000,Hotel,1012,NA,NA
Annes Luxury Suite,Victoria Island,"Victoria Island, Lagos - 243B, Muri Okunola Street, Victoria Island, Lagos",25000,Hotel,2781,NA,NA
"Esporta Suites (Formerly Dupoint 71 Place), Lekki",Lekki,"Lekki, Lagos - Plot 71, Admiral Ayinla Way, 3rd Ikate Round About",15500,Hotel,2908,6.4 Very Good,From 49 reviews
Glee Hotel,Victoria Island,"Victoria Island, Lagos - 287b Akin Olugbade St, Victoria Island",37200,Hotel,1130,NA,NA
The W Hotel,Ikeja,"Ikeja, Lagos - 1, Oduduwa Crescent GRA, Ikeja, Lagos.",30000,Hotel,828,NA,NA
Travel House Lekki,Lekki,"Lekki, Lagos - KM 14 Lekki-Epe Express Way (Between Chevron And V...",17500,Hotel,2472,6.8 Very Good,From 94 reviews
Sunheaven Hotel And  Resorts ,VICTORIA ISLAND ,"VICTORIA ISLAND , Lagos - 191A, Adeleke Adedoyin Off Kofo Abayomi Street Vic...",33000,Hotel,1170,NA,NA
Cumberland Hotel,Victoria Island,"Victoria Island, Lagos - 2/4 Adeola Odeku Street",19720,Hotel,1533,NA,NA
Famoss Guest House,Lagos Island,"Lagos Island, Lagos - 59, Lawson Street, Off Melony Road ,Lagos Island.",4000,Guest House,984,NA,NA
Divine Fountain Hotel,Victoria Island,"Victoria Island, Lagos - Plot 156, Prince Ade Odedina Street, Off Jide Oki ...",11000,Hotel,3367,7.6 Very Good,From 39 reviews
Presken Hotel And Suites (Alade)     ,Ikeja,"Ikeja, Lagos - 17 Alade Avenue, Behind Jabita, Ikeja",20000,Hotel,1338,NA,NA
"De Santos Hotel, Lagos",Akowonjo,"Akowonjo, Lagos - 7 Shasha Road, Akowonjo Roundabout, By Dopemu Over...",30000,Hotel,2763,7.8 Very Good,From 22 reviews
"Limeridge Hotel, Lekki",Lekki,"Lekki, Lagos - Plot 10, Chevron Drive",22500,Budget Hotel,5763,7.5 Very Good,From 100 reviews
"De Rigg Place, Surulere",Surulere,"Surulere, Lagos - 6, Alhaji Rafiu Shittu Street, Alaka Estate, Stadi...",20000,Budget Hotel,2078,NA,NA
7th Heaven Hotels And Suite,Maryland,"Maryland, Lagos - No 11,Tunde Alabi Street,off Okey Okeke Drive, Aro...",11000,Hotel,1576,6.7 Very Good,From 14 reviews
Grandvenice Transit Apartments,Lagos/Ajao Estate,"Lagos/Ajao Estate, Lagos - 12 Fatai Irawo Street, Off International Airport R...",17000,Apartment,1611,6.9 Very Good,From 11 reviews
Atican Beach Resort Hotel,Ajah,"Ajah, Lagos - Along Abraham Adesanya Estate Okun Ajah Town",18000,Budget Hotel,1559,NA,NA
Villa Thirty Three,Lekki Phase 1,"Lekki Phase 1, Lagos - 33, Jay Jay Oladimeji Close, Off Freedom Way",28000,Hotel,1732,6.9 Very Good,From 6 reviews
"Limeridge Hotels, Ikoyi",Ikoyi,"Ikoyi, Lagos - Plot 2, Block 12, Udi Street, Osborne Estate 1",35000,Hotel,1334,NA,NA
Rollace Hotel ,Ajao Estate,"Ajao Estate, Lagos - 46 – 48 Awoniyi Elemo Street Off International A...",29600,Hotel,268,NA,NA
November 5 Hotel,Ikeja,"Ikeja, Lagos - 23 Ogundana Street, Off Allen Avenue, Ikeja, Lagos",12000,Budget Hotel,1412,NA,NA
"The Landmark Hotel And Beach Resort, V.I",Victoria Island,"Victoria Island, Lagos - 7th Floor, Landmark Towers,  5B, Water Corporation...",49500,Hotel,2309,NA,NA
Topaz Lodge,Lekki Phase 1,"Lekki Phase 1, Lagos - 9, Ichie Chris Onyekwuluje Off Abike Animashaun",15000,Boutique Hotel,2606,7.2 Very Good,From 33 reviews
The Snug,Yaba,"Yaba, Lagos - 30 Commercial Avenue, . Behind First Bank, Sabo, Y...",18000,Hotel,1851,7.8 Very Good,From 39 reviews
Le Paris Continental Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - No 16a, Babatunde Dabiri Street, Off Akwuzu Street...",18000,Hotel,1632,NA,NA
CLASS SUITES @ ELICRIS PLACE,Ikeja,"Ikeja, Lagos - 17A Church Street Off Salvation Road",13200,Hotel,1265,NA,NA
Dublina Suites,Festac,"Festac, Lagos - 4th Avenue By G Close Festac ",14000,Hotel,1014,6.3 Very Good,From 3 reviews
Lekki Heights Hotel,Lekki,"Lekki, Lagos - 1 General Ogomudia Boulevard, Off Babatunde Anjous...",25000,Hotel,1366,7.8 Very Good,From 18 reviews
PRIMAL HOTEL & RESORT LTD.,Ikeja,"Ikeja, Lagos - No 4, Harold Shodipo Crescent, Off Joel Ogunaike, ...",25000,Hotel,754,7.4 Very Good,From 15 reviews
D'luxx Villa And Suites ,Ajao Estate,"Ajao Estate, Lagos - 18-20,  Adekunle Akala Street, Off Fatai Irawo Str...",10000,Hotel,415,6.9 Very Good,From 3 reviews
Oak Hotel,Festac,"Festac, Lagos - Plot 241 Festac Link Road, By Rasaki Junctio",5000,Hotel,1987,6.2 Very Good,From 29 reviews
Blue Lodge Hotel,Ikeja,"Ikeja, Lagos - 9A Service Road By Catholic Church Of Ascension, M...",24500,Hotel,1453,7.1 Very Good,From 7 reviews
Brus View Suites,Lekki,"Lekki, Lagos - 13 Adebayo Doherty Road, Road 14",25000,Hotel,382,NA,NA
Ajaxbel Hotel ,Ajah,"Ajah, Lagos -  5, Hussanat Sanni Close Ogombo Eti-osa Lekki-Ajah",2000,Hotel,1316,6.0 Very Good,From 11 reviews
Morning Side Suites And Spa,Victoria Island,"Victoria Island, Lagos - 200C Etim Inyang",28000,Boutique Hotel,452,7.9 Very Good,From 4 reviews
Ellis Suites,Ojodu Berger,"Ojodu Berger, Lagos - 22/26 Oremeta Street, Ojodu Berger, Ikeja",16663,Hotel,1580,7.7 Very Good,From 16 reviews
Shoregate Hotel,Ikeja GRA,"Ikeja GRA, Lagos - 29 Joel Ogunnaike ",60000,Hotel,3376,NA,NA
Wood Peckers Hotel,Surulere,"Surulere, Lagos - 32, Bassie Ogamba Street, Adeniran Ogunsanya",19500,Hotel,1297,NA,NA
De-Next Hotel ,Yaba,"Yaba, Lagos - 2 Wulemotu Ajoke Street, Chemist Bus Stop",7000,Budget Hotel,1509,NA,NA
BENESTAR SUITES," Surulere,Lagos"," Surulere,Lagos, Lagos - 34 Tafawa Balewa Crescent.  Off Adeniran Ogusanya ...",15000,Hotel,1115,7.4 Very Good,From 21 reviews
The Oak  (Emperors Place II) ,Victoria Island,"Victoria Island, Lagos - No 12, Balarabe Musa Crescent, Beside Apples And O...",14950,Hotel,315,NA,NA
Choice Hospitality (Luxury Suites),Ikeja,"Ikeja, Lagos - No 5, Tiwalade Close, Off Bamisile Street, Off All...",15000,Hotel,469,7.8 Very Good,From 5 reviews
Golden Tulip Essential Airport Hotel ,Mafoluku,"Mafoluku, Lagos - 42/44, Murtala Mohammed International Airport Road...",32000,Luxury Hotel,3168,NA,NA
Our Home Suite Hotel,Ikeja,"Ikeja, Lagos - 70E Allen Avenue, By Nikky Africana Plaza Opposite...",14000,Hotel,808,7.8 Very Good,From 10 reviews
La Campagne Tropicana,Lekki,"Lekki, Lagos - Ikegun Ibeju-Lekki Local Government Area, Epe Expr...",95000,Resort,2052,6.1 Very Good,From 21 reviews
Apartment Royale Hotel And Suite,Ikeja,"Ikeja, Lagos - 4 Wole Ogunjimi Street Off Agbaoku Street ",25900,Hotel,3397,7.5 Very Good,From 57 reviews
Serena Hotels And Suites ,Surulere,"Surulere, Lagos - 48 Asoge Street Cele/Okota Link Bridge Ijesha Suru...",12000,Hotel,897,NA,NA
The Loft Hotel (Formerly Fahrenheit Loft),Victoria Island,"Victoria Island, Lagos - Plot 312, Akin Ogunlewe Street, Off Ligali Ayorind...",45000,Hotel,1442,NA,NA
Angel Hospitality Services Ltd,Victoria Island,"Victoria Island, Lagos - 836, Adetokunbo Ademola Street, Victoria Island, L...",39000,Hotel,919,NA,NA
Palazzo Dumont Hotel,Lekki,"Lekki, Lagos - Plot 24 Chevron Drive By Northern Foreshore Gate L...",33000,Hotel,1005,7.7 Very Good,From 11 reviews
Fairmont Suites By Virgin Hospitality,Ajah,"Ajah, Lagos - 5 Oyedayo Olafisoye Close, Westwood Estate, Cele/L...",5000,Hotel,1103,6.7 Very Good,From 29 reviews
NO 95 Suites ,Lekki,"Lekki, Lagos - 95 Omorinre Johnson ",20000,Guest House,945,NA,NA
Cynarisso Hotel Limited.,Ajao Estate,"Ajao Estate, Lagos - 15/17 Kaara Street, Off Osolo Way, M/M Airport Roa...",15000,Hotel,467,6.8 Very Good,From 9 reviews
Royal Jatoz Hotels,Ajao Estate,"Ajao Estate, Lagos - No 9, Rasmon Street, Off Osolo Way, Off Muritala M...",15000,Hotel,2208,7.4 Very Good,From 4 reviews
Rosewood Residence Lagos,Ikoyi,"Ikoyi, Lagos - 113a Mainland Way Dolphin Estate Ikoyi",15000,Hotel,728,7.9 Very Good,From 6 reviews
Diamond Hotel,Maryland,"Maryland, Lagos - 5 Okunfolami Street Anthony Village ",16000,Hotel,715,NA,NA
BW Starfire Hotel Formerly (Best Western Starfire Hotel),Ikeja,"Ikeja, Lagos - 128, Joel Ogunnaike Street, G R A",30800,Hotel,1810,NA,NA
Aquatic Suites And Lounge,Surulere ,"Surulere , Lagos - Oscar Abu Cr/ Yomi Oshikoya Cl , Budget House, Sur...",10500,Hotel,921,NA,NA
Elegance Suites & Hotel (Formerly Ocean Suites),Gbagada,"Gbagada, Lagos - 1/3 Safuratu Sekoni Street Behind R-Jolad Hospital...",29500,Hotel,1156,6.9 Very Good,From 26 reviews
Ellyxville Hotels,Lekki Phase 1,"Lekki Phase 1, Lagos - 8 African Lane, Off Admiralty Way.",35000,Hotel,622,NA,NA
Topaz Luxury Suite,Lekki Phase 1,"Lekki Phase 1, Lagos - No. 15 Oluwole Street. Off Chief Collins Street",17000,Hotel,2000,NA,NA
Paramount Luxury Serviced Apartment,Ikeja GRA,"Ikeja GRA, Lagos - 8 Ajisafe Street ,G.R.A, Ikeja",20000,Apartment,994,6.2 Very Good,From 4 reviews
Bakky Fasal Guest House,Ketu,"Ketu, Lagos - 11 Bello Folawiyo Crescent, Ikosi, Ketu",6600,Guest House,598,6.8 Very Good,From 9 reviews
The Bridge Lodge,Lekki,"Lekki, Lagos - Plot 3, Block 38 Yinka Bello Street, Off Admiralty...",15000,Hotel,901,NA,NA
Watercress Hotels,Ikeja,"Ikeja, Lagos - 48 Oritse Street, Off Obafemi Awolowo Way ",50000,Hotel,1249,NA,NA
Xgarden Hotel And Suites,Ebute Metta,"Ebute Metta, Lagos - 14, Ijero Street, Ebute Metta",8000,Hotel,890,7.5 Very Good,From 8 reviews
Demiral Hotel At The Place Alausa,Ikeja,"Ikeja, Lagos - No 3 Kafi Street, Opposite Ikeja City Mall (Shopri...",12000,Hotel,798,NA,NA
Oakland Suites ,Ikeja,"Ikeja, Lagos - 31, Ogundana Street, Off Allen Avenue Ikeja",12000,Hotel,545,NA,NA
Demiral Hotel (The Place),Surulere,"Surulere, Lagos - 36, Adeniran Ogunsanya Street, Surulere",12000,Hotel,748,7.9 Very Good,From 3 reviews
Tasko Crown Hotel,Lekki,"Lekki, Lagos - 19, Badore Road Ajah ",5000,Hotel,830,NA,NA
Premiership  UK Suites,Ikeja ,"Ikeja , Lagos - 11 Akin Osiyemi Street, Off Allen Avenue",14000,Hotel,763,NA,NA
Maxton Suites Annex Magodo (Formerly House 51 Guest House),Magodo,"Magodo, Lagos - 51 Association Avenue Shangisha Magodo Via CMD Roa...",8000,Hotel,806,6.5 Very Good,From 7 reviews
POSH APARTMENT AND HOTEL OMOLE,Ojodu,"Ojodu, Lagos -  477A Omotunde Akinsola Street Omole Phase 1",13500,Apartment,562,7.3 Very Good,From 4 reviews
Pacific Hotel And Suites 2,Alakuko,"Alakuko, Lagos - 105, Baale Animashaun Road Dalemo Bus Stop, Alakuk...",11000,Budget Hotel,782,6.7 Very Good,From 7 reviews
"Queenset Guest House, Ikeja",Ikeja,"Ikeja, Lagos - No.38,Unity Road,off Toyin",4500,Guest House,624,NA,NA
The Regent Luxury Suites,Ikeja,"Ikeja, Lagos - 25 Joel Ogunnaike Street",50000,Hotel,2242,7.4 Very Good,From 13 reviews
Sabitex Hotel,Lekki,"Lekki, Lagos - KM 14, Lekki Epe Expressway",20000,Hotel,614,NA,NA
Lekki Waterside Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 2B, Wole Olateju Cresent. Lekki Phase 1",35000,Hotel,1604,NA,NA
Dawn Carrington Hotels & Suites (Formerly Ree-Danielles),Ojota,"Ojota, Lagos - 6 Emmanuel High Street Ogudu GRA",14000,Budget Hotel,1459,6.0 Very Good,From 26 reviews
Alomars Lodge,Ikorodu,"Ikorodu, Lagos - 5/6 Rotimi Odusanya Street, Off Haruna Bustop.",5000,Lodge,564,6.8 Very Good,From 8 reviews
Studio 21,"Opebi,Ikeja","Opebi,Ikeja, Lagos - 21 Abel Oreniyi Street, Off Salvation Road, Opebi,...",10000,Hotel,108,NA,NA
Paragon Hotel Limited,Surulere,"Surulere, Lagos - 24/26, Sanya Street, Aguda-Surulere",7000,Hotel,884,7.4 Very Good,From 16 reviews
Grand Bee Suites,Ikeja,"Ikeja, Lagos - 31A Joel Ogunnaike Street GRA Ikeja",40000,Hotel,1213,NA,NA
Oakspring Hotel And Luxury Suites,Gbagada,"Gbagada, Lagos - No. 5 Sunday Ogunyade Street, Gbagada Lagos.",26500,Hotel,871,7.5 Very Good,From 6 reviews
Sotel Suites Limited,Amuwo-Odofin,"Amuwo-Odofin, Lagos - Block 77A, Plot 9/10, Amuwo Odofin - Okota Link Br...",12000,Hotel,694,7.5 Very Good,From 6 reviews
De La Premiere Inn,Ajah,"Ajah, Lagos - Plot 16 Ezekiel Uvoh Crescent, Off Lekki-Epe Expre...",5000,Hotel,973,7.8 Very Good,From 2 reviews
Mayors And Diplomat Suite  (Formerly Diplomat Hotel  G.R.A.),Ikeja,"Ikeja, Lagos - 18 Oduduwa Way G.R.A",25000,Budget Hotel,957,NA,NA
Ziroc Residence,Lekki,"Lekki, Lagos - 34 Jay Jay Oladimeji Street, Off Freedom Way, 3rd ...",27000,Hotel,644,NA,NA
The Lilygate Lagos,Lekki,"Lekki, Lagos - 2, Olubumni Owa Street, N.B.D., Lekki Phase 1.",71000,Luxury Hotel,778,NA,NA
Cristabol Place - Hotel ,Lekki ,"Lekki , Lagos - 23 Fubara Dublin Green Street, Off Alpha Beach Roa...",12000,Hotel,767,6.2 Very Good,From 17 reviews
